,Comments,Translate,Subjectivity,Polarity,Subject Label,Analysis
0, Ksnapa sih bukan yang indonesia yang murah  mau ke jawa mahalnya udah berapa kali harga tiket ke luar negeri  ,"Why aren't Indonesians cheap enough to go to Java, how expensive are tickets to overseas?",0.6333333333333333,-0.033333333333333326,Teks tersebut cenderung subjektif,Negative
1, imtiwit jarak nya lebih jauh ke jawa dari pada keluar negeri kak contoh nya kayak malay  Kuala lumpur lebih dekat dibandingkan jakarta,"Imtiwit is farther to Java than abroad, for example, like Malaysia, Kuala Lumpur is closer than Jakarta.",0.0,0.0,Teks tersebut sangat objektif,Neutral
2,  rfirmds iya kak  tapi harganya juga kan jomplang gitu jadi cuma menyuarakan isi hati aja pengen yang lokal juga bisa lebih affordable ,"rfirmds, yes, bro, but the price is also ridiculous, so I'm just voicing my heart, I want local, it can also be more affordable.",0.5,0.05555555555555556,Teks tersebut netral,Positive
3, imtiwit iya sih kak  Tapi harga tiket kan tergantung juga dengan ketentuan maskapai dan jarak yang di tempuh,"Imtiwit, yes, bro. But the ticket price also depends on the airline's conditions and the distance traveled",0.0,0.0,Teks tersebut sangat objektif,Neutral
4, imtiwit sabar kak semoga aja nanti ada promo nya biar ke jawa lebih murah biasanya maskapai ngasih promo kayak hari hari tertentu,"Imtiwit, be patient, I hope there will be a promo later so that it's cheaper to get to Java, usually airlines give promos like certain days.",0.2738095238095238,-0.01190476190476191,Teks tersebut cenderung objektif,Negative
5,  rfirmds gak juga mslah jarak  jakarta singapore bisa dapat  rban  Smntara jkt batam jtaan  ,"rfirmds doesn't matter the distance, Jakarta, Singapore, you can get Rban, while Jakarta, Batam, Million",0.0,0.0,Teks tersebut sangat objektif,Neutral
6,Direct flight ,Direct flight,0.4,0.1,Teks tersebut netral,Positive
7,Of course no,Of course no,0.0,0.0,Teks tersebut sangat objektif,Neutral
8,Ke KL yes,It's KL yes,0.0,0.0,Teks tersebut sangat objektif,Neutral
9,Mudahan harga tiket ke jawa segera turun dan sering banyak diskon,Hopefully ticket prices to Java will drop soon and there will often be lots of discounts,0.0,0.0,Teks tersebut sangat objektif,Neutral
10,Keluar negeri lebih murah dibanding dalam negeri,Going abroad is cheaper than coming home,0.0,0.0,Teks tersebut sangat objektif,Neutral
11,Hargo tiket Padang Jakarta    itu super air jet yg pling murah ,The ticket price for Padang Jakarta is the cheapest super air jet,0.6666666666666666,0.3333333333333333,Teks tersebut cenderung subjektif,Positive
12,belum ada paspor,no passport yet,0.0,0.0,Teks tersebut sangat objektif,Neutral
13,kenapa penerbangan ke singapore gaada si   ,why are there no flights to Singapore?,0.0,0.0,Teks tersebut sangat objektif,Neutral
14,lah pulang wak baru ado lewat nan modeko    ,I just came home a little late nan modeko,0.55,-0.24375,Teks tersebut netral,Negative
15, Terbang dari tokyo bisa gak ya  pengen pulang kampung mumpu lagi ada promo ,"Is it possible to fly from Tokyo or not, do you want to go home while there's a promotion?",0.95,0.4,Teks tersebut sangat subjektif,Positive
16, kevinhazaa_  wishtlis nya kmn ni bg,kevinhazaa_ wishtlis to meet bg,0.0,0.0,Teks tersebut sangat objektif,Neutral
17, aprily_ichy ke Malaysia kita lagi ,aprily_ichy to our Malaysia again,0.0,0.0,Teks tersebut sangat objektif,Neutral
18, besnalisha betul tu  Jom laa,Besnalisha is right. Let's go,0.5357142857142857,0.2857142857142857,Teks tersebut netral,Positive
19, vinalestarird ini murah lo   PP dapat penginapan lagi,Vinasestard is cheap so you can get more accommodation,0.6,0.45,Teks tersebut cenderung subjektif,Positive
20,  temankulinerpadang seriusss   gaaasss ,temanpadang is serious gaaasss,0.6666666666666666,-0.3333333333333333,Teks tersebut cenderung subjektif,Negative
21, vinalestarird hahaha fokus tkda dan toep dl,vinawisatard hahaha focus on TKDA and toep dl,0.4,0.2,Teks tersebut netral,Positive
22, ndi_daputra  fajri__  lah jalan ka malay wk wkwk,ndi_daputra fajri__ lah jalan ka malay wk wkwk,0.0,0.0,Teks tersebut sangat objektif,Neutral
23,  sltn azmi gass  lai do tu ,sltn azmi gass lai do tu,0.0,0.0,Teks tersebut sangat objektif,Neutral
24, _fy alyzntjng yokk lhh kuala lumpur,_fy alyzntjng yokk lhh kuala lumpur,0.0,0.0,Teks tersebut sangat objektif,Neutral
25, sptyaisha_ yok lah sa,sptyaisha_ yok lah sa,0.0,0.0,Teks tersebut sangat objektif,Neutral
26, _fy alyzntjng  kalau PP sma hotel nya  hari  malam ,_fy alyzntjng if the PP to the hotel is at night,0.0,0.0,Teks tersebut sangat objektif,Neutral
27, nurazizaelfri,nuracizaelfri,0.0,0.0,Teks tersebut sangat objektif,Neutral
28, ayu naw yok malaysia,beautiful naw yok malaysia,1.0,0.85,Teks tersebut sangat subjektif,Positive
29, Kanti  ke Malaysia Singapore kita  rikisulistio_    ,Kanti to Malaysia Singapore we rikisulistio_,0.0,0.0,Teks tersebut sangat objektif,Neutral
30,  khairilagustoriaa gass  bilo kanti     ,Eye in Khairilagustoria Goss,0.0,0.0,Teks tersebut sangat objektif,Neutral
31, resa jurnal gas libur bsk,resa gas journal holiday tomorrow,0.0,0.0,Teks tersebut sangat objektif,Neutral
32, laaavelle gas,laaavelle gas,0.0,0.0,Teks tersebut sangat objektif,Neutral
33, kiemmy_carel  fitriayolandaa,Kimmy Carel Fitria Yolanda,0.0,0.0,Teks tersebut sangat objektif,Neutral
34, gerryteguh_ cus boking,firm ferry _ cus booking,0.4,-0.2,Teks tersebut netral,Negative
35, prabowohadicahyo  gas jepang ,Prabowohadicahyo Japanese gas,0.0,0.0,Teks tersebut sangat objektif,Neutral
36, andhika wrprtm aku mulai curiga dengan niat busukmu,Andhika WRPRTM I'm starting to suspect your bad intentions,0.3833333333333333,-0.3499999999999999,Teks tersebut cenderung objektif,Negative
37,  prabowohadicahyo  wah parahhhhh   ke disneyland woi naik biang lala akwkwkwkkwk ,"Prabowohadi Cahyo Wow, it's really bad to go to Disneyland, wow, ride the Ferris wheel hahaha",0.7666666666666666,-0.07499999999999997,Teks tersebut cenderung subjektif,Negative
38, chynta_larasalsabila  nur_afifah_lubis  sun___riis  uchiiiiiii,chynta_larasalsabila nur_afifah_lubis sun___riis uchiiiiiii,0.0,0.0,Teks tersebut sangat objektif,Neutral
39, wildanira_ weeeeeehh kerasssss kuy lah,wildanira_ weeeeeehh that's so hard,0.5416666666666666,-0.2916666666666667,Teks tersebut netral,Negative
40, wildanira_ ka Dubai selah eonnie ,wildanira_ ka Dubai selah eonnie,0.0,0.0,Teks tersebut sangat objektif,Neutral
41, vmo_fndrski pek lahh,vmo_fndrski pek lahh,0.0,0.0,Teks tersebut sangat objektif,Neutral
42, muhammad afifacik libur semester se,muhammad afifacik semester break se,0.0,0.0,Teks tersebut sangat objektif,Neutral
43, deaolyviaadriana,dear Olivia Adriana,0.0,0.0,Teks tersebut sangat objektif,Neutral
44, sweetsugarcoffe_ Gas,sweetsugarcoffe_ Gas,0.0,0.0,Teks tersebut sangat objektif,Neutral
45, vicyzalvista,vicyzalvista,0.0,0.0,Teks tersebut sangat objektif,Neutral
46, rikerositaa pai liburan wak lai ke,rikerositaa pai holiday wak lai ke,0.0,0.0,Teks tersebut sangat objektif,Neutral
